Mã ICD,Tên bệnh
H65.3,viêm tai giữa tiết nhày mạn
H65.4,viêm tai giữa không nung mủ mạn khác
H65.9,viêm tai giữa không nung mủ không đặc hiệu
H66,viêm tai giữa nung mủ và không đặc hiệu
H66.1,viêm tai giữa vòi nhĩ mủ mạn
H66.2,viêm tai giữa thượng nhĩ sào bào mủ mạn
H66.3,viêm tai giữa nung mủ mạn khác viêm tai giữa mủ mạn khác
H66.4,viêm tai giữa nung mủ không đặc hiệu viêm tai giữa mủ không đặc hiệu
H66.9,viêm tai giữa không đặc hiệu
H67,viêm tai giữa trong bệnh phân loại nơi khác
H67.0,viêm tai giữa trong bệnh nhiễm trùng phân loại nơi khác
H67.1,viêm tai giữa trong bệnh do virus phân loại nơi khác
H68,viêm và tắc vòi eustache
H68.0,viêm vòi eustache
H68.1,tắc vòi eustache
H69,bệnh khác của vòi eustache
H69.0,vòi eustache rộng
H69.8,bệnh vòi eustache xác định khác
H70,viêm xương chũm và tình trạng liên quan
H70.0,viêm xương chũm cấp
H70.1,viêm xương chũm mạn
H70.2,viêm xương đá
H70.9,viêm xương chũm không đặc hiệu
H71,cholesteatoma cu a tai giư a
H72,thủng màng nhĩ
H72.0,thủng màng nhĩ trung tâm
H72.1,thủng màng nhĩ ở vị trí thượng nhĩ
H72.8,thủng màng nhĩ khác
H72.9,thủng màng nhĩ không đặc hiệu
H73,bệnh khác của màng nhĩ
H73.0,viêm màng nhĩ cấp
H73.1,viêm màng nhĩ mạn
H73.9,bệnh màng nhĩ không đặc hiệu
H74,bệnh khác của tai giữa và xương chũm
H74.0,xơ nhĩ
H74.1,bệnh tai giữa kết dính bệnh tai giữa dính
A83.1,viêm não ngựa miền tây
A83.2,viêm não ngựa miền đông
A83.4,viêm não châu úc
A83.5,viêm não california
A83.6,bệnh virus rocio
A83.9,viêm não virus do muỗi truyền không xác định
A84,viêm não virus do ve truyền
A84.0,viêm não viễn đông do ve truyền viêm não xuân hè nga
A84.1,viêm não trung âu do ve truyền
A84.8,viêm não virus khác do ve truyền
A85,viêm não virus khác chưa phân loại
A85.0,viêm não do enterovirus g05 1
A85.1,viêm não do adenovirus g05 1
A85.2,viêm não virus do tiết túc truyền không xác định
A85.8,viêm não virus xác định khác
A87,viêm màng não do virus
A87.0,viêm màng não do enterovirus g02 0
A87.1,viêm màng não do adenovirus g02 0
A87.2,viêm màng não màng nhện tăng lympho bào
A87.9,viêm màng não do virus không xác định
A88,nhiễm virus khác của hệ thần kinh trung ương chưa phân loại
A88.0,sốt phát ban do enterovirus phát ban boston
A88.8,nhiễm virus xác định khác của hệ thần kinh trung ương
A89,nhiễm virus không xác định của hệ thần kinh trung ương
A90,sốt dengue dengue cổ điển
A92,bệnh sốt virus khác do muỗi truyền
A92.0,bệnh virus chikungunya
A92.1,sốt do o nyong nyong
A92.3,bệnh virus vùng tây sông nil
A92.30,sốt vùng west nile không viêm não sốt vùng west nile nos
A92.4,sốt thung lũng rift
A92.8,sốt virus do muỗi truyền xác định khác
A92.9,sốt virus do muỗi truyền không xác định
A93,sốt virus khác do tiết túc truyền chưa phân loại
A93.1,sốt muỗi cát
A93.2,sốt do ve colorado
A93.8,sốt virus xác định khác do tiết túc truyền
A95,sốt vàng
A95.0,sốt vàng ở rừng
A95.1,sốt vàng thành thị
A95.9,sốt vàng không xác định
A96,sốt xuất huyết do arenavirus
A96.1,sốt xuất huyết machupo
B76.1,bệnh giun necator
B76.8,bệnh giun móc khác
B77,bệnh giun đũa
B77.0,bệnh giun đũa với biến chứng đường ruột
B77.8,bệnh giun đũa với biến chứng khác
B77.9,bệnh giun đũa không xác định
B78,bệnh giun lươn
B78.0,bệnh giun lươn đường ruột
B78.1,bệnh giun lươn ở da
B78.7,bệnh giun lan tỏa
B78.9,bệnh giun lươn không xác định
B79,bệnh giun tóc
B80,bệnh giun kim
B81,nhiễm giun đường ruột khác chưa phân loại
C94.3,bệnh bạch cầu dạng dưỡng bào
C94.4,bệnh toàn tủy cấp tính có xơ tủy
C94.5,bệnh xơ tủy cấp
C94.7,bệnh bạch cầu xác định khác
C95,bệnh bạch cầu có loại tế bào không xác định
A49.8,nhiễm khuẩn khác không xác định được vị trí
A49.9,nhiễm khuẩn không xác định
A50,giang mai bẩm sinh
A50.0,giang mai bẩm sinh sớm có triệu chứng
A50.01,giang mai bẩm sinh sớm ở da
A50.03,giang mai bẩm sinh sớm ở nội tạng
A50.04,viêm phổi do giang mai bẩm sinh sớm
A50.05,viêm mũi do giang mai bẩm sinh sớm
A50.06,viêm thanh quản do giang mai bẩm sinh sớm
A50.08,bệnh lý xương sụn do giang mai bẩm sinh sớm
A50.09,viêm hầu do giang mai bẩm sinh sớm
A50.1,giang mai bẩm sinh sớm tiềm ẩn
A50.2,giang mai bẩm sinh sớm không xác định
A50.3,bệnh lý nhãn cầu do giang mai bẩm sinh muộn
A50.31,viêm giác mạc kẽ do giang mai bẩm sinh muộn
A50.32,viêm màng mạch võng mạc do giang mai bẩm sinh muộn
A50.4,giang mai thần kinh bẩm sinh muộn giang mai thần kinh ở người trẻ
A50.40,giang mai thần kinh bẩm sinh muộn không xác định giang mai thần kinh ở người trẻ
A50.41,viêm màng não giang mai bẩm sinh muộn
A50.42,viêm não giang mai bẩm sinh muộn
A50.43,bệnh lý đa thần kinh do giang mai bẩm sinh muộn
A50.45,giang mai thần kinh ở người trẻ liệt nhẹ toàn thân
A50.46,giang mai thần kinh do tabes tủy sống
A50.5,giang mai bẩm sinh muộn khác có triệu chứng
A50.51,khớp clutton
A50.53,tam chứng hutchison
A50.54,giang mai tim mạch bẩm sinh muộn
A50.55,bệnh lý khớp do giang mai bẩm sinh muộn
A50.57,mũi lưng ngựa do giang mai bẩm sinh
A50.6,giang mai bẩm sinh muộn tiềm ẩn
A50.7,giang mai bẩm sinh muộn không xác định
A50.9,giang mai bẩm sinh không xác định
A51,giang mai sớm
A51.1,giang mai hậu môn tiên phát
A51.2,giang mai tiên phát ở vị trí khác
A51.3,giang mai thứ phát ở da và niêm mạc
A51.32,hói do giang mai
A51.33,bạch sản da do giang mai
A51.34,đốm trắng niêm mạc do giang mai
A51.4,giang mai thứ phát khác
A51.41,viêm màng não giang mai
A51.43,viêm mống mắt thể mi do giang mai
A51.44,bệnh lý bạch huyết do giang mai
A51.45,viêm cơ do giang mai
A51.46,bệnh lý nhãn cầu không phân loại do giang mai
A51.5,giang mai sớm tiềm ẩn
A51.9,giang mai sớm không xác định
A52,giang mai muộn
F13.19,lạm dụng thuốc an thần hoặc thuốc ngủ với rối loạn không xác định do thuốc an thần hoặc thuốc ngủ
F13.21,nghiện thuốc an thần hoặc thuốc ngủ đang giảm
F13.22,nghiện thuốc an thần hoặc thuốc ngủ với ngộ độc
F13.23,nghiện thuốc an thần hoặc thuốc ngủ đang cai nghiện
F13.24,nghiện thuốc an thần hoặc thuốc ngủ với rối loạn tính tình do thuốc an thần hoặc thuốc ngủ
F13.25,nghiện thuốc an thần hoặc thuốc ngủ với loạn thần do thuốc an thần hoặc thuốc ngủ
F13.26,nghiện thuốc an thần hoặc thuốc ngủ với loạn trí nhớ dai dẵng do thuốc an thần hoặc thuốc ngủ
F13.27,nghiện thuốc an thần hoặc thuốc ngủ với sa sút tâm thần dai dẵng do thuốc an thần hoặc thuốc ngủ
F13.28,nghiện thuốc an thần hoặc thuốc ngủ với rối loạn khác do thuốc an thần hoặc thuốc ngủ
F13.29,nghiện thuốc an thần hoặc thuốc ngủ với rối loạn không xác định do thuốc an thần hoặc thuốc ngủ
F13.9,rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ rối loạn ta m thần và hành vi kho ng biẹ t định
F13.90,sử dụng thuốc an thần hoặc thuốc ngủ không xác định không biến chứng
F13.92,sử dụng thuốc an thần hoặc thuốc ngủ không xác định với ngộ độc
F13.98,sử dụng thuốc an thần hoặc thuốc ngủ không xác định với rối loạn khác do thuốc an thần hoặc thuốc ngủ
C14,u ác vị trí khác và không rõ ràng của môi khoang miệng và hầu
C18,u ác đại tràng
C19,u ác của nơi nối trực tràng xích ma
C25,u ác tụy
F13.99,sử dụng thuốc an thần hoặc thuốc ngủ không xác định với rối loạn không xác định do thuốc an thần hoặc thuốc ngủ
F14,rối loạn tâm thần và hành vi do sử dụng cocain
F14.10,lạm dụng cocain không biến chứng
F14.12,lạm dụng cocain với ngộ độc
C26,u ác của cơ quan tiêu hóa khác và không rõ ràng
C33,u ác khí quản
F14.14,lạm dụng cocain với rối loạn tính tình do cocain
F14.15,lạm dụng cocain với loạn thần do cocain
H74.2,gián đoạn và trật khớp xương con của tai gián đoạn và trật khớp xương con
H74.4,polip tai giữa
H74.8,những rối loạn đặc hiệu khác của tai giữa và xương chũm
H74.9,bệnh tai những rối loạn ở tai giữa và xương chũm không đặc hiệu những rối loạn ở tai giữa và xương chũm không đặc hiệu
H75,bệnh khác của tai giữa và xương chũm trong bệnh phân loại nơi khác
H75.0,viêm xương chũm trong bệnh nhiễm trùng và ký sinh trùng phân loại nơi khác
H75.8,những rối loạn đặc hiệu khác của tai giữa và xương chũm trong các bệnh đã được phân loại nơi khác
H80,xốp xơ tai
H80.0,xốp xơ tai xâm lấn cửa sổ bầu dục làm bít tắc xốp xơ tai xâm lấn cửa sổ bầu dục bít lấp
H80.2,xốp xơ ốc tai
H80.8,xốp xơ tai khác
F16.99,sử dụng chất gây ảo giác không xác định có rối loạn không xác định do chất gây ảo giác
F17.20,nghiện nicotin không xác định loại
F31,rối loạn cảm xúc lưỡng cực
C50,u ác của vú
F17.21,nghiện nicotin thuốc lá điếu
C51,u ác âm hộ
C53.0,u ác của cổ tử cung trong
B94.1,di chứng viêm não do virus
C65,u ác của bể thận
F17.29,nghiện nicotin sản phẩm thuốc lá khác
C67.5,u ác của cổ bàng quang
C69,u ác của mắt và phần phụ
C69.9,u ác của mắt không xác định
C70,u ác của màng não
C05.0,u ác của khẩu cái cứng
F18,rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi
F18.10,lạm dụng chất hít không biến chứng
F18.12,lạm dụng chất hít có ngộ độc
C78,u ác thứ phát của cơ quan hô hấp và tiêu hóa
B81.1,bệnh giun capillaria đường ruột
B81.2,bệnh giun trichostrongylus
B81.3,bệnh giun angiostrongylus đường ruột
B81.8,bệnh giun sán đường ruột xác định khác
B82,bệnh ký sinh trùng đường ruột không xác định
B82.0,bệnh giun sán đường ruột không xác định
B82.9,nhiễm ký sinh trùng đường ruột không xác định
B83,bệnh giun sán khác
B83.1,bệnh giun gnathostoma
B83.2,bệnh giun angiostrongylus do parastrongylus cantonensis
B83.3,nhiễm giun syngamia
B83.8,bệnh giun sán đặc hiệu khác
B83.9,bệnh giun sán không xác định
B85,bệnh chấy rận
B85.1,bệnh chấy rận do pediculus humanus corporis
B85.2,bệnh chấy rận không xác định
B85.3,bệnh chấy rận
B85.4,bệnh chấy rận phối hợp
B86,bệnh ngứa do ghẻ
B87.0,bệnh giòi ở da
B87.1,bệnh giòi trên vết thương
B87.3,bệnh giòi ở mũi họng
B87.4,bệnh giòi ở tai
B87.9,bệnh giòi không xác định
B88,nhiễm ký sinh trùng khác
B88.0,các bệnh do ve khác
B88.2,nhiễm ký sinh trùng do tiết túc khác
B88.3,bệnh do đỉa ngoại ký sinh
B88.8,nhiễm ký sinh trùng xác định khác
B88.9,nhiễm ký sinh trùng không xác định
B89,bệnh do ký sinh trùng không xác định
B90.0,di chứng do lao hệ thần kinh trung ương
B90.1,di chứng do lao tiết niệu sinh dục
B90.8,di chứng do lao cơ quan khác
B90.9,di chứng do lao hô hấp và bệnh lao không xác định
B91,di chứng do bại liệt
B92,di chứng do phong
B94,di chứng của bệnh nhiễm trùng và ký sinh trùng khác không xác định
B94.0,di chứng bệnh mắt hột
B94.2,di chứng viêm gan virus
B95,liên cầu và tụ cầu là nguyên nhân gây bệnh được phân loại ở các chương khác
B95.0,liên cầu nhóm a là nguyên nhân gây các bệnh phân loại ở chương khác
B95.2,liên cầu nhóm d là nguyên nhân gây các bệnh phân loại ở chương khác
B95.3,phế cầu là nguyên nhân gây các bệnh phân loại ở chương khác
B95.4,liên cầu khác là nguyên nhân gây các bệnh phân loại ở chương khác
B95.5,liên cầu không xác định là nguyên nhân gây các bệnh phân loại ở chương khác
C53.9,u ác của cổ tử cung không xác định
C54,u ác của thân tử cung
C54.0,u ác của eo tử cung
C54.1,u ác của nội mạc tử cung
C54.2,u ác của cơ tử cung
C54.3,u ác của đáy tử cung
C79,u ác thứ phát có vị trí khác và không xác định
C82,u lympho dạng nang
F18.14,lạm dụng chất hít có rối loạn tính tình do chất hít
F18.15,lạm dụng chất hít có loạn thần do chất hít
F18.17,lạm dụng chất hít có sa sút tâm thần do chất hít
F18.18,lạm dụng chất hít có rối loạn khác do chất hít
F18.19,lạm dụng chất hít có rối loạn không đặc hiệu do chất hít
F18.20,nghiện chất hít không biến chứng
F18.21,nghiện chất hít đang giảm
F18.22,nghiện chất hít có ngộ độc
F18.24,nghiện chất hít có rối loạn tình tình do chất hít
F18.25,nghiện chất hít có loạn thần do chất hít
C54.8,u ác với tổn thương chồng lấn của thân tử cung
C54.9,u ác của thân tử cung không xác định
C57,u ác của cơ quan sinh dục nữ khác và không xác định
C57.0,u ác của vòi fallop
C57.2,u ác của dây chằng tròn
C57.1,u ác của dây chằng rộng
C57.3,u ác của cận tử cung
C57.4,u ác của phần phụ tử cung không xác định
C57.7,u ác của cơ quan sinh dục nữ xác định khác
C57.8,u ác với tổn thương chồng lấn của cơ quan sinh dục nữ
C60.0,u da ác tính bao quy đầu
C60.1,u da ác của quy đầu dương vật
C60.2,u ác của thân dương vật
C60.8,u ác với tổn thương chồng lấn của dương vật
C60.9,u ác của dương vật không xác định
C62.0,u ác của tinh hoàn không xuống
C62.1,u ác của tinh hoàn đã xuống
C62.9,u ác của tinh hoàn không xác định
C63,u ác của cơ quan sinh dục nam khác và không xác định
C63.0,u ác của mào tinh
C63.00,u ác mào tinh hoàn không xác định bên
C63.01,u ác mào tinh hoàn bên phải
C63.02,u ác mào tinh hoàn bên trái
C63.10,u ác thừng tinh không xác định bên
C63.11,u ác thừng tinh bên phải
